Member_number,Date,itemDescription,Quantity,Tax 5%,Total,Date,Time
1127,14-01-2015,frankfurter,8,22.588,474.348,03-09-2019,14:57
4828,08-08-2015,sparkling wine,7,32.7915,688.6215,03-10-2019,18:44
3683,10-06-2015,specialty bar,5,8.0625,169.3125,1/27/2019,13:26
1971,18-09-2015,sausage,9,14.2785,299.8485,01-08-2019,16:17
3014,11-11-2015,curd cheese,8,27.416,575.736,01-08-2019,15:57
3779,15-09-2015,frankfurter,9,40.626,853.146,02-08-2019,11:15
2489,04-05-2015,whole milk,7,13.867,291.207,1/25/2019,13:18
3564,27-06-2015,newspapers,6,27.639,580.419,03-06-2019,20:34
4092,30-09-2015,berries,4,6.968,146.328,02-10-2019,18:36
3221,13-01-2015,curd,6,26.235,550.935,2/17/2019,14:40
1279,06-09-2015,tropical fruit,6,24.39,512.19,03-08-2019,16:43
2581,22-08-2015,soda,3,13.533,284.193,2/18/2019,19:39
1808,25-02-2015,rolls/buns,5,6.5775,138.1275,1/18/2019,20:59
2552,22-02-2015,canned beer,6,10.326,216.846,2/18/2019,15:39
2300,16-01-2015,canned beer,10,25.955,545.055,2/16/2019,12:21
1187,19-11-2015,frankfurter,8,29,609,3/16/2019,19:25
3037,19-08-2015,other vegetables,10,44.9,942.9,1/23/2019,13:00
4941,25-08-2015,whole milk,10,45.25,950.25,1/25/2019,13:48
4501,24-06-2015,whole milk,10,34.3,720.3,02-05-2019,19:57
3803,06-11-2015,citrus fruit,1,1.5205,31.9305,2/22/2019,10:36
2762,10-03-2015,frankfurter,6,23.385,491.085,1/21/2019,16:37
4119,21-01-2015,frankfurter,6,13.878,291.438,03-08-2019,17:11
1340,18-07-2015,butter milk,10,15.07,316.47,02-10-2019,12:28
2193,30-09-2015,hamburger meat,4,13.228,277.788,3/19/2019,12:46
1997,08-02-2015,pasta,8,28.744,603.624,03-06-2019,15:07
4546,08-06-2015,other vegetables,8,12.984,272.664,3/27/2019,13:48
4736,09-06-2015,sausage,4,18.308,384.468,3/23/2019,19:20
1959,16-03-2015,rolls/buns,7,12.096,254.016,03-11-2019,16:07
1974,25-02-2015,grapes,9,37.458,786.618,1/29/2019,11:56
2421,07-03-2015,root vegetables,6,4.944,103.824,02-07-2019,18:23
2288,31-05-2015,coffee,8,32.388,680.148,1/28/2019,13:05
2184,30-06-2015,popcorn,5,23.0725,484.5225,2/20/2019,15:55
4554,27-08-2015,whole milk,1,3.6085,75.7785,01-04-2019,19:40
3361,05-03-2015,tropical fruit,5,12.57,263.97,03-07-2019,13:58
2999,17-04-2015,beef,9,43.749,918.729,3/30/2019,14:43
2614,25-06-2015,whole milk,6,28.017,588.357,3/27/2019,19:18
4064,05-06-2015,frankfurter,8,17.272,362.712,1/19/2019,19:39
3567,04-10-2015,tropical fruit,1,3.1845,66.8745,2/25/2019,16:21
2587,07-05-2015,canned beer,7,16.0265,336.5565,3/13/2019,19:44
3783,17-06-2015,finished products,2,7.64,160.44,1/30/2019,19:42
3635,14-02-2015,beverages,10,19.95,418.95,2/20/2019,15:24
3058,19-02-2015,hamburger meat,8,17.028,357.588,2/25/2019,14:12
4391,24-08-2015,whole milk,10,47.79,1003.59,1/16/2019,13:32
1306,22-06-2015,finished products,10,49.49,1039.29,02-08-2019,16:20
1024,25-12-2015,other vegetables,6,15.384,323.064,1/19/2019,16:31
1295,18-07-2015,ham,7,24.332,510.972,02-01-2019,15:10
1661,09-04-2015,other vegetables,5,17.5025,367.5525,01-03-2019,11:36
4591,09-03-2015,curd,5,20.0125,420.2625,1/26/2019,12:45
3169,17-01-2015,bottled beer,8,8.34,175.14,03-03-2019,19:17
3915,26-11-2015,curd,6,15.867,333.207,1/19/2019,17:34
1127,05-03-2015,whole milk,8,7.916,166.236,1/18/2019,12:04
4828,16-03-2015,whole milk,9,15.228,319.788,3/21/2019,16:21
3683,27-02-2015,dessert,8,8.868,186.228,03-03-2019,17:01
1709,22-04-2015,sausage,7,7.8785,165.4485,2/13/2019,10:50
2219,17-04-2015,other vegetables,6,22.164,465.444,3/23/2019,19:16
2206,17-10-2015,ham,3,13.02,273.42,1/28/2019,16:47
1752,06-04-2015,other vegetables,7,22.491,472.311,02-09-2019,10:00
3942,10-11-2015,other vegetables,8,15.388,323.148,1/23/2019,11:51
3296,17-08-2015,soda,10,7.75,162.75,3/23/2019,10:55
2257,05-02-2015,herbs,8,13.724,288.204,1/25/2019,15:00
4313,28-07-2015,frankfurter,7,4.319,90.699,03-04-2019,11:19
2001,21-08-2015,rolls/buns,3,2.712,56.952,03-05-2019,19:46
2449,08-07-2015,curd,8,37.796,793.716,03-03-2019,19:00
3635,12-04-2015,frankfurter,4,9.294,195.174,02-08-2019,10:53
3058,24-07-2015,other vegetables,1,3.7035,77.7735,02-10-2019,12:50
4391,09-05-2015,dog food,4,13.962,293.202,1/28/2019,20:50
1306,20-04-2015,specialty bar,3,11.556,242.676,02-11-2019,10:39
1024,28-04-2015,curd,2,7.352,154.392,1/15/2019,13:41
1295,20-02-2015,frankfurter,9,39.51,829.71,3/16/2019,19:08
1661,14-11-2015,soda,4,5.11,107.31,1/26/2019,20:23
4591,01-08-2015,beef,5,8.1775,171.7275,3/19/2019,11:30
3169,17-01-2015,canned beer,1,3.7145,78.0045,1/13/2019,19:30
3915,10-10-2015,pork,2,4.37,91.77,3/26/2019,18:03
1127,26-04-2015,frankfurter,1,1.2645,26.5545,3/23/2019,10:13
4828,07-01-2015,sausage,4,8.3,174.3,03-12-2019,19:58
3683,13-09-2015,canned beer,5,17.8475,374.7975,2/17/2019,19:57
2904,06-06-2015,specialty chocolate,6,5.745,120.645,1/29/2019,10:01
4090,26-02-2015,curd,4,11.498,241.458,3/15/2019,11:57
3060,05-07-2015,canned beer,7,21.4935,451.3635,1/14/2019,10:02
3768,07-10-2015,whole milk,10,12.95,271.95,02-06-2019,14:51
1232,21-01-2015,rolls/buns,5,4.4425,93.2925,2/15/2019,12:42
1360,23-10-2015,pork,9,10.3635,217.6335,01-03-2019,12:02
1107,01-10-2015,citrus fruit,9,29.9925,629.8425,01-04-2019,18:19
2865,04-11-2015,pot plants,10,14.265,299.565,3/18/2019,17:38
3635,14-06-2015,rolls/buns,3,4.5555,95.6655,3/28/2019,13:41
3058,12-07-2015,butter,9,44.8785,942.4485,03-02-2019,19:42
4391,24-09-2015,condensed milk,9,11.8035,247.8735,1/25/2019,20:24
1306,20-06-2015,sausage,9,41.967,881.307,1/16/2019,18:08
1024,11-08-2015,whole milk,5,23.09,484.89,3/20/2019,19:17
1295,21-07-2015,sausage,3,6.963,146.223,01-04-2019,13:24
1661,22-11-2015,beverages,7,10.3635,217.6335,03-11-2019,15:53
4591,22-02-2015,beverages,1,0.914,19.194,3/22/2019,15:05
3169,04-09-2015,bottled water,5,6.1925,130.0425,3/24/2019,18:27
3915,04-10-2015,newspapers,3,14.196,298.116,2/21/2019,16:55
1127,12-05-2015,cleaner,8,37.948,796.908,02-12-2019,12:58
4828,10-07-2015,sausage,3,8.601,180.621,03-10-2019,18:59
3683,24-12-2015,newspapers,6,13.605,285.705,1/31/2019,13:44
2443,15-11-2015,sausage,7,21.728,456.288,03-06-2019,13:46
2749,27-01-2015,misc. beverages,5,2.9525,62.0025,2/17/2019,18:06
4389,13-04-2015,white wine,1,0.627,13.167,2/21/2019,12:38
1674,04-12-2015,sausage,2,4.325,90.825,3/20/2019,15:56
4262,16-10-2015,meat,2,8.716,183.036,01-11-2019,14:29
2082,07-04-2015,frankfurter,9,31.2165,655.5465,1/26/2019,19:14
4494,06-01-2015,ice cream,4,7.412,155.652,1/31/2019,16:24
2460,28-09-2015,canned beer,6,27.21,571.41,2/26/2019,10:52
4509,29-11-2015,tropical fruit,8,25.368,532.728,03-11-2019,12:55
2267,03-07-2015,meat,2,8.137,170.877,1/26/2019,19:28
4891,05-09-2015,whole milk,3,1.5885,33.3585,03-12-2019,13:52
3962,20-09-2015,sausage,9,37.8405,794.6505,02-11-2019,10:54
4964,18-07-2015,frankfurter,4,14.764,310.044,2/21/2019,18:31
2914,30-11-2015,meat,10,25.97,545.37,03-09-2019,18:24
2808,05-05-2015,root vegetables,2,9.314,195.594,1/20/2019,18:09
1085,15-08-2015,root vegetables,5,4.3525,91.4025,1/28/2019,15:16
3808,18-08-2015,whole milk,5,11.055,232.155,03-05-2019,17:07
4149,07-01-2015,citrus fruit,5,3.305,69.405,03-02-2019,19:26
2331,05-06-2015,citrus fruit,1,4.4845,94.1745,01-11-2019,11:20
4475,03-04-2015,other vegetables,9,11.223,235.683,01-11-2019,16:49
2761,25-04-2015,citrus fruit,2,5.977,125.517,03-11-2019,12:01
2620,14-12-2015,sausage,2,9.32,195.72,2/28/2019,18:37
3206,13-10-2015,frankfurter,4,12.53,263.13,01-05-2019,11:25
1226,13-04-2015,hard cheese,8,37.548,788.508,02-02-2019,18:42
1395,07-03-2015,cream cheese ,8,19.036,399.756,01-01-2019,14:47
2465,07-06-2015,turkey,3,12.21,256.41,02-09-2019,19:43
3572,09-07-2015,pork,5,4.485,94.185,1/23/2019,14:04
4387,08-05-2015,whole milk,4,15.544,326.424,01-07-2019,16:11
1555,27-03-2015,rolls/buns,7,25.571,536.991,1/14/2019,19:06
1181,16-11-2015,sausage,9,20.9475,439.8975,02-02-2019,15:34
2814,11-05-2015,ice cream,10,17.595,369.495,3/17/2019,19:06
2794,16-09-2015,liquor,2,1.439,30.219,03-02-2019,19:44
2912,28-01-2015,pip fruit,4,4.75,99.75,3/16/2019,11:22
4667,12-01-2015,root vegetables,8,23.56,494.76,01-06-2019,11:23
2235,25-10-2015,soda,4,6.524,137.004,1/29/2019,14:12
2353,02-05-2015,soda,1,3.3175,69.6675,1/31/2019,10:46
3449,08-03-2015,sausage,6,7.773,163.233,02-05-2019,10:16
1058,10-11-2015,root vegetables,4,6.45,135.45,2/13/2019,12:38
1027,17-05-2015,pork,4,13.188,276.948,02-07-2019,13:05
3302,22-05-2015,pork,9,33.777,709.317,3/19/2019,13:25
2229,30-05-2015,chocolate,4,3.29,69.09,03-07-2019,14:53
2188,15-08-2015,fruit/vegetable juice,4,7.66,160.86,3/13/2019,19:22
1547,18-04-2015,pickled vegetables,10,11.12,233.52,02-09-2019,11:00
1649,30-06-2015,bottled water,1,2.7225,57.1725,2/26/2019,19:24
3254,10-09-2015,frankfurter,7,34.44,723.24,03-12-2019,12:43
2818,07-11-2015,tropical fruit,4,7.094,148.974,3/14/2019,17:22
2703,08-05-2015,canned beer,10,37.3,783.3,01-08-2019,20:55
3332,31-01-2015,root vegetables,4,14.148,297.108,01-05-2019,16:05
2473,01-07-2015,meat,10,17.77,373.17,01-04-2019,13:34
2810,30-12-2015,frankfurter,5,16.8575,354.0075,03-06-2019,18:13
1033,22-04-2015,tropical fruit,2,2.112,44.352,01-03-2019,19:17
4222,27-05-2015,tropical fruit,9,9.693,203.553,01-07-2019,11:44
3679,21-09-2015,citrus fruit,2,1.203,25.263,1/27/2019,15:51
2212,27-08-2015,hamburger meat,6,29.913,628.173,2/26/2019,16:52
1507,22-06-2015,chicken,7,16.7895,352.5795,01-07-2019,20:52
2870,21-01-2015,chicken,10,10.91,229.11,01-07-2019,17:36
3429,26-04-2015,frankfurter,4,19.084,400.764,02-02-2019,13:23
4148,09-04-2015,canned beer,10,35.495,745.395,3/20/2019,16:28
2970,30-12-2015,turkey,10,22.01,462.21,3/20/2019,19:57
2013,30-08-2015,packaged fruit/vegetables,8,27.984,587.664,2/15/2019,17:01
3967,30-05-2015,pasta,1,1.85,38.85,03-06-2019,13:29
2885,15-05-2015,citrus fruit,1,0.767,16.107,01-06-2019,11:09
3935,02-07-2015,sausage,6,29.949,628.929,03-04-2019,15:02
3283,01-05-2015,whole milk,4,9.534,200.214,03-12-2019,14:21
3268,06-11-2015,canned beer,5,16.67,350.07,2/20/2019,18:01
3677,30-04-2015,citrus fruit,1,3.743,78.603,3/24/2019,14:49
3495,27-06-2015,liquor (appetizer),9,10.6875,224.4375,1/31/2019,12:02
1410,04-10-2015,citrus fruit,7,16.9785,356.5485,1/25/2019,13:30
2440,06-06-2015,sausage,7,33.208,697.368,02-03-2019,14:38
4088,13-01-2015,chicken,10,20.15,423.15,1/24/2019,17:37
2469,23-09-2015,hamburger meat,7,9.7475,204.6975,3/14/2019,17:20
4229,06-03-2015,sausage,1,3.124,65.604,2/18/2019,20:29
2728,02-08-2015,beef,2,3.636,76.356,1/21/2019,10:00
4694,25-01-2015,citrus fruit,10,9.055,190.155,3/13/2019,11:46
2836,29-12-2015,UHT-milk,5,12.98,272.58,03-03-2019,13:42
1311,12-02-2015,candy,4,5.768,121.128,3/29/2019,14:44
1760,23-01-2015,newspapers,6,23.514,493.794,01-10-2019,14:16
3656,02-03-2015,beef,4,12.002,252.042,1/25/2019,15:54
3720,28-05-2015,sausage,1,4.4305,93.0405,1/19/2019,10:21
2996,26-09-2015,frankfurter,2,9.982,209.622,01-02-2019,18:09
1949,22-07-2015,canned beer,1,1.9505,40.9605,03-12-2019,16:46
4498,11-02-2015,bottled beer,1,2.4305,51.0405,2/25/2019,15:31
2447,28-12-2015,onions,4,10.238,214.998,3/18/2019,17:15
1952,23-03-2015,tropical fruit,8,5.984,125.664,2/23/2019,12:29
4099,27-01-2015,bottled water,7,25.27,530.67,3/26/2019,20:14
1804,12-03-2015,beef,7,14.0805,295.6905,3/30/2019,13:22
1510,16-05-2015,sausage,8,35.516,745.836,2/17/2019,17:09
2879,18-04-2015,hair spray,3,3.972,83.412,3/21/2019,10:40
4899,12-03-2015,chicken,2,8.191,172.011,03-05-2019,17:43
4326,29-09-2015,pork,6,23.979,503.559,1/31/2019,14:04
1670,17-05-2015,ice cream,2,6.933,145.593,02-05-2019,19:05
1117,24-05-2015,meat,5,3.5575,74.7075,02-01-2019,10:08
1346,03-04-2015,other vegetables,9,6.9975,146.9475,03-07-2019,13:12
1178,15-11-2015,bottled water,10,39.065,820.365,02-10-2019,20:51
1649,25-06-2015,tropical fruit,2,9.937,208.677,2/14/2019,17:29
4651,21-06-2015,photo/film,3,3.162,66.402,02-09-2019,10:25
4243,02-04-2015,sausage,5,18.6975,392.6475,01-10-2019,11:34
4429,21-07-2015,grapes,7,10.3845,218.0745,03-11-2019,18:58
4645,25-07-2015,domestic eggs,4,8.814,185.094,2/18/2019,16:28
4019,24-07-2015,rolls/buns,9,10.3185,216.6885,2/26/2019,20:26
4459,26-04-2015,tropical fruit,1,1.971,41.391,1/18/2019,15:08
3006,27-12-2015,chicken,6,4.578,96.138,2/15/2019,18:03
1834,17-09-2015,frankfurter,5,15.4425,324.2925,03-08-2019,13:21
3236,04-07-2015,berries,6,6.456,135.576,1/17/2019,12:48
1765,11-03-2015,margarine,4,19.548,410.508,03-12-2019,19:53
3855,09-03-2015,tropical fruit,5,24.945,523.845,03-09-2019,19:09
4392,28-11-2015,ham,4,18.852,395.892,03-12-2019,16:30
3330,26-07-2015,hamburger meat,4,10.226,214.746,1/25/2019,10:11
1723,02-09-2015,yogurt,4,7.272,152.712,3/25/2019,13:07
4110,30-03-2015,soda,9,9.909,208.089,02-07-2019,18:48
2600,28-01-2015,yogurt,3,4.935,103.635,2/17/2019,17:27
2946,07-10-2015,soda,5,19.255,404.355,02-03-2019,15:59
2426,08-09-2015,bottled water,2,2.348,49.308,3/14/2019,11:21
4170,03-05-2015,sausage,5,3.675,77.175,3/24/2019,13:48
1109,06-04-2015,citrus fruit,5,7.1125,149.3625,3/21/2019,10:17
3429,04-01-2015,shopping bags,9,34.38,721.98,3/19/2019,15:49
2055,04-02-2015,newspapers,6,17.385,365.085,2/24/2019,13:02
2480,20-09-2015,frankfurter,3,7.1475,150.0975,3/28/2019,12:58
2441,30-05-2015,sausage,9,19.269,404.649,02-05-2019,15:26
1054,04-10-2015,frankfurter,3,7.2135,151.4835,02-10-2019,18:23
4818,11-01-2015,salt,7,19.5895,411.3795,03-05-2019,19:06
3379,21-01-2015,oil,7,26.915,565.215,2/15/2019,20:21
3939,10-02-2015,curd,5,24.2575,509.4075,1/30/2019,16:24
1367,05-08-2015,other vegetables,3,6.6975,140.6475,2/14/2019,15:04
1043,10-01-2015,citrus fruit,9,35.0685,736.4385,2/27/2019,16:10
2231,17-10-2015,frankfurter,1,3.5975,75.5475,02-04-2019,12:14
3235,28-12-2015,root vegetables,8,35.7,749.7,1/20/2019,10:13
4554,16-07-2015,tropical fruit,7,9.107,191.247,3/28/2019,17:38
3245,24-01-2015,beef,10,6.75,141.75,2/27/2019,11:06
2996,19-05-2015,berries,10,49.65,1042.65,2/15/2019,14:53
2507,05-01-2015,canned beer,7,18.0915,379.9215,1/26/2019,18:22
4186,25-10-2015,whipped/sour cream,7,19.1555,402.2655,3/14/2019,19:02
3929,28-04-2015,root vegetables,9,12.15,255.15,03-02-2019,14:16
3760,22-11-2015,whole milk,1,1.512,31.752,03-04-2019,15:44
4928,18-08-2015,beef,4,17.828,374.388,01-07-2019,12:20
4217,18-12-2015,frozen vegetables,10,18.775,394.275,03-08-2019,20:01
1174,11-02-2015,rolls/buns,10,47.72,1002.12,01-09-2019,13:45
4103,19-06-2015,whole milk,3,4.125,86.625,03-01-2019,15:40
4408,13-03-2015,whole milk,1,3.7485,78.7185,3/16/2019,16:58
2588,28-12-2015,citrus fruit,8,32.384,680.064,2/17/2019,11:12
2598,11-11-2015,pastry,8,37.788,793.548,2/27/2019,15:12
1518,11-12-2015,frankfurter,2,9.979,209.559,03-07-2019,20:37
2702,08-04-2015,tropical fruit,6,21.966,461.286,1/21/2019,17:44
1001,20-01-2015,frankfurter,4,8.248,173.208,2/19/2019,16:23
2270,30-09-2015,berries,4,16.336,343.056,01-06-2019,12:12
2838,10-11-2015,rolls/buns,9,23.094,484.974,3/14/2019,19:33
1683,26-05-2015,root vegetables,4,13.188,276.948,3/24/2019,10:29
4040,03-04-2015,yogurt,10,7.18,150.78,1/27/2019,14:28
3897,23-08-2015,other vegetables,9,9.675,203.175,03-06-2019,12:46
2200,11-03-2015,berries,7,9.191,193.011,02-02-2019,19:40
4073,29-01-2015,berries,2,6.096,128.016,1/25/2019,19:39
3700,19-04-2015,other vegetables,6,21.033,441.693,3/14/2019,17:54
3973,10-06-2015,rolls/buns,6,12.624,265.104,1/29/2019,12:25
2715,06-07-2015,ham,5,16.7725,352.2225,01-03-2019,16:47
3967,23-11-2015,whole milk,5,24.175,507.675,1/14/2019,12:52
4002,03-09-2015,tropical fruit,9,15.921,334.341,01-05-2019,19:50
2962,01-03-2015,bottled water,7,33.4215,701.8515,2/22/2019,18:17
